974000	931000	1020000	882000	960000	1021000	1009000	1022000	1004000	1051000	1053000	980000	11907000
193000	185000	210000	174000	192300	191000	191000	193000	183000	200000	194000	180000	2286300
290000	281000	306000	256000	287000	297000	296000	304000	288000	308000	312000	270000	3495000
120000	115000	122000	99000	113000	120000	125000	129000	124000	132000	133000	110000	1442000
772000	740000	840000	701000	757000	796000	793000	784000	763000	830000	832000	770000	9378000
255000	240000	260000	210000	233000	240000	241000	245000	233000	247000	255000	220000	2879000
281000	259000	274000	222000	241000	255000	260000	264000	253000	262000	274000	260000	3105000
1183000	1134000	1352000	1109300	1174000	1243000	1265000	1260000	1173000	1340000	1257000	1290000 14780300
591000	577000	588000	491000	551000	561000	585000	601000	578000	596000	619000	640000	6978000
347000	334000	345000	281000	322000	328000	335000	351000	333000	340000	358000	318000	3992000
354000	332000	342000	280000	309000	310000	323000	334000	309000	311000	348000	330000	3882000
721000	701000	756000	627000	701000	741000	728000	756000	720000	754000	786000	700000	8691000
538000	512000	523000	424000	492000	507000	510000	521000	523000	494000	541000	510000	6095000
275000	267000	282000	226000	263300	268000	260000	271000	264000	267000	284000	250000	3177300
278000	265000	280000	240000	266600	275000	270000	272000	265000	264000	285000	270000	3230600
265000	254000	267000	223000	258800	270000	268000	276000	273000	274000	283000	260000	3171800
1028000	978000	1084000	924000	1010600	1050000	1035000	1057000	1024000	1071500	1076000	999000	12337100
479000	447000	482000	406000	439900	460000	480000	481000	438000	455100	476000	461000	5505000
116800	112000	116000	92000	116500	120000	112000	119200	107000	111400	120000	110000	1352900
705750	670000	695000	612000	665700	690000	700000	720300	667900	683000	722000	630000	8161650
414546	394000	433000	364200	407100	414000	417000	426700	391700	428000	426000	400000	4916246
366749	343500	344000	294500	347200	375000	368300	378000	354000	341400	383300	330000	4225949
628155	588500	575000	485000	552000	606000	612700	626800	586400	565600	645700	610000	7081855
