1010000	796000	1098000	955000	1007000	1062000	1056000	1071000	999000	1084000	1056000	1002000	12196000
196000	169000	210000	180000	189000	196000	199000	200000	194000	209000	200000	197000	2339000
276000	206000	316000	270000	286000	307000	313000	311000	305000	322000	310000	300000	3522000
171000	203000	132000	116000	118000	131000	135000	132000	133000	143000	135000	124000	1673000
787000	694000	885000	751000	794000	851000	842000	860000	796000	873000	846000	794000	9773000
280000	304000	437000	377000	319000	330000	318000	323000	281000	453000	325000	286000	4033000
253000	232000	281000	234000	247000	258000	262000	266000	239000	269000	260000	240000	3041000
1251000	1270000	1374000	1154000	1206000	1307000	1294000	1337000	1117000	1328000	1250000	1249000	15137000
565000	580000	626000	529000	579000	609000	618000	623000	571000	618000	600000	637000	7155000
361000	507000	358000	303000	326000	347000	353000	349000	352000	362000	353000	327000	4298000
341000	354000	345000	289000	313000	314000	326000	339000	297000	321000	329000	295000	3863000
661000	650000	799000	653000	704000	768000	779000	783000	774000	819000	801000	740000	8931000
468000	460000	524000	427000	486000	507000	516000	526000	500000	530000	531000	493000	5968000
260000	292000	281000	234000	257000	268000	266000	272000	271000	277000	278000	260000	3216000
332000	339000	271000	250000	264000	283000	280000	288000	278000	269000	296000	267000	3417000
303000	291000	277000	245000	265000	281000	280000	284000	280000	280000	280000	269000	3335000
1049000	821000	1133000	1002000	1056000	1109000	1116000	1128000	1091000	1152000	1117000	1076000	12850000
473000	619000	481000	417000	446000	464000	466000	480000	409000	453000	439000	407000	5554000
128000	153000	126000	107000	116000	119000	120000	122000	113000	122000	118000	109000	1453000
650000	566000	706000	657000	669000	706000	707000	713000	698000	712000	710000	672000	8166000
471000	448000	427000	386000	391000	420000	417000	404000	411000	432000	398000	377000	4982000
380000	393000	351000	315000	342000	382000	386000	385000	365000	359000	373000	346000	4377000
602000	497000	596000	513000	547000	628000	629000	643000	598000	592000	646000	578000	7069000
