Mo-Chit 932344	871188	995937	773043	554305	913851	946233	966016	939790	1013977	991030	993829	10891543
Saphan-Khwai 203267	191536	222038	172711	129665	212309	210794	219287	217675	225526	221775	215287	2441870
Ari 287026	267479	306030	228980	171217	309448	295135	295431	303426	297855	309193	293431	3364651
Sanam-Pao 80502	77153	87136	65387	48942	89102	90882	92537	93423	92282	94875	86349	998570
Victory-Monument 1037533	1001257	1081779	883942	634351	1044303	1060883	1081814	1069810	1124433	1124443	1094671	12239219
Phaya-Thai 309818	281050	519996	387488	234153	373346	376259	424367	495633	681437	551908	524353	5159808
Ratchathewi 260183	246213	261663	229557	157729	254620	256295	270081	266096	266975	276706	273190	3019308
Siam 1429126	1340691	1488388	711211	489607	1296251	1421865	1414401	1356505	1651941	1523538	1636796	15760320
Chit-Lom 676165	661661	692814	411083	256130	512769	554416	553974	576548	619672	642122	719116	6876470
Phloen-Chit 393778	392131	418442	333341	233770	389547	383411	379059	396197	374016	407842	383556	4485090
Nana 435001	421853	433728	310263	203843	333912	390157	384504	387629	399014	423284	432915	4556103
Asok 852585	856346	915540	691552	525899	840237	924416	884895	919530	903659	953523	918085	10186267
Phrom-Phong 558635	540936	554365	484028	374644	524213	552225	559095	558787	550135	572889	583775	6413727
Thong-Lo 272732	268310	283367	209850	187441	290969	274537	285557	292112	288590	306064	296192	3255721
Ekkamai 302873	290750	302150	240623	183875	290685	300571	302792	295715	284544	302806	298226	3395610
Phra-Khanong 238295	233090	248063	192453	144716	236908	235133	242233	238068	232430	240537	230008	2711934
On-Nut 1064824	1026567	1143472	888626	659435	1100003	1088023	1106388	1091412	1098094	1109278	1065528	12441650
Nationnal-Stadium 481260	444685	467967	379797	294020	441698	498403	498834	473645	486665	481473	509373	5457820
Ratchadamri 120099	119242	128323	86557	41236	106302	115635	120041	118767	115231	132468	122102	1326003
Sala-Daeng 747095	709520	731229	548359	414634	694806	713355	734488	737389	710985	758081	737987	8237928
Chong-Nonsi 407318	398547	448773	323018	246026	464467	480043	484037	483261	476074	491728	452431	5155723
Surasak 280324	263664	259196	184329	147251	289047	283128	289894	281811	253843	293998	260017	3086502
Saphan-Taksin 422643	409524	417231	296212	204060	353943	376735	399964	379161	355626	406886	393824	4415809
Krung-Thon-Buri 248370	241946	275130	203547	158920	291060	293222	310905	313600	309768	328352	310276	3285096
Wongwian-Yai 318108	309508	355997	267758	203338	350364	352610	367866	362739	363776	365549	360973	3978586
